time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-12 00:00:00+00:00,3,2,6,4
2025-02-13 00:00:00+00:00,5,2,13,7
2025-02-14 00:00:00+00:00,7,4,15,5
2025-02-15 00:00:00+00:00,7,4,4,4
2025-02-16 00:00:00+00:00,2,2,10,7
2025-02-17 00:00:00+00:00,3,2,7,4
2025-02-18 00:00:00+00:00,1,1,34,8
2025-02-19 00:00:00+00:00,3,2,19,3
2025-02-20 00:00:00+00:00,4,3,11,9
2025-02-21 00:00:00+00:00,4,2,13,5
2025-02-22 00:00:00+00:00,5,2,5,4
2025-02-23 00:00:00+00:00,11,5,11,7
2025-02-24 00:00:00+00:00,9,5,32,9
2025-02-25 00:00:00+00:00,2,1,22,8
