time_iso8601,stars_cumulative
2024-06-19 00:00:00+00:00,1
2024-07-10 00:00:00+00:00,3
2024-07-11 00:00:00+00:00,4
2024-11-06 00:00:00+00:00,5
2024-11-14 00:00:00+00:00,6
2024-11-27 00:00:00+00:00,9
2025-01-18 00:00:00+00:00,10
2025-03-10 00:00:00+00:00,11
2025-05-08 00:00:00+00:00,12
2025-05-16 00:00:00+00:00,13
2025-06-07 00:00:00+00:00,14
2025-07-12 00:00:00+00:00,15
2025-07-13 00:00:00+00:00,16
2025-07-14 00:00:00+00:00,17
2025-08-01 00:00:00+00:00,18
2025-08-04 00:00:00+00:00,19
2025-08-26 00:00:00+00:00,20
2025-09-10 00:00:00+00:00,21
2025-10-12 00:00:00+00:00,22
2025-10-14 00:00:00+00:00,23
2025-10-22 00:00:00+00:00,24
2025-11-06 00:00:00+00:00,25
2025-12-08 00:00:00+00:00,26
2025-12-12 00:00:00+00:00,28
2026-01-26 00:00:00+00:00,29
2026-01-27 00:00:00+00:00,30
