time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-16 00:00:00+00:00,0,0,9,4
2024-10-17 00:00:00+00:00,0,0,13,7
2024-10-18 00:00:00+00:00,0,0,28,5
2024-10-19 00:00:00+00:00,0,0,5,2
2024-10-20 00:00:00+00:00,0,0,3,1
2024-10-21 00:00:00+00:00,2,1,24,5
2024-10-22 00:00:00+00:00,0,0,26,4
2024-10-23 00:00:00+00:00,1,1,50,12
2024-10-24 00:00:00+00:00,0,0,9,3
2024-10-25 00:00:00+00:00,2,2,6,2
2024-10-26 00:00:00+00:00,1,1,1,1
2024-10-27 00:00:00+00:00,6,4,1,1
2024-10-28 00:00:00+00:00,3,3,52,7
2024-10-29 00:00:00+00:00,3,3,30,9
2024-10-30 00:00:00+00:00,4,4,42,8
2024-10-31 00:00:00+00:00,0,0,23,7
2024-11-01 00:00:00+00:00,0,0,7,4
2024-11-02 00:00:00+00:00,2,1,4,4
2024-11-03 00:00:00+00:00,3,1,5,2
2024-11-04 00:00:00+00:00,1,1,7,4
2024-11-05 00:00:00+00:00,0,0,12,6
2024-11-06 00:00:00+00:00,0,0,18,7
2024-11-07 00:00:00+00:00,5,3,21,7
2024-11-08 00:00:00+00:00,1,1,10,1
2024-11-09 00:00:00+00:00,10,6,20,3
2024-11-10 00:00:00+00:00,11,7,26,6
2024-11-11 00:00:00+00:00,8,7,28,12
2024-11-12 00:00:00+00:00,9,6,29,10
2024-11-13 00:00:00+00:00,4,2,33,7
2024-11-14 00:00:00+00:00,5,2,14,7
2024-11-15 00:00:00+00:00,0,0,12,4
2024-11-16 00:00:00+00:00,2,1,8,5
2024-11-17 00:00:00+00:00,1,1,10,7
2024-11-18 00:00:00+00:00,1,1,19,10
2024-11-19 00:00:00+00:00,1,1,28,11
2024-11-20 00:00:00+00:00,6,5,123,6
2024-11-21 00:00:00+00:00,7,6,7,6
2024-11-22 00:00:00+00:00,3,3,27,5
2024-11-23 00:00:00+00:00,4,4,6,5
2024-11-24 00:00:00+00:00,5,3,20,9
2024-11-25 00:00:00+00:00,0,0,27,6
2024-11-26 00:00:00+00:00,4,3,12,8
2024-11-27 00:00:00+00:00,2,2,53,3
2024-11-28 00:00:00+00:00,5,3,48,10
2024-11-29 00:00:00+00:00,1,1,17,10
2024-11-30 00:00:00+00:00,1,1,7,5
